42, 19, (9.5, 1781.75, 1130.25), [0.828884029492563, 0.6433570701040783, 0.39929479183714445, 9, 1, 0.11796580074539786, 0.8861439078027721, 0.11688648880200836, 0.2802042393075137, 0.44995625532970784]
42, 20, (9.5, 1786.75, 1339.0), [0.828884029492563, 0.030117081355244824, 0.5836025832344098, 1, 20, 0.6904301308754498, 0.9271914077457131, 0.11688648880200836, 0.4735252607048648, 0.209332618639807]
42, 21, (9.5, 1798.625, 1394.5), [0.7134097233010107, 0.030117081355244824, 0.715915083744303, 3, 2, 0.1465691746099993, 0.17648046494602, 0.11863074716810107, 0.4735252607048648, 0.5714479838821729]
42, 22, (9.5, 1800.125, 1472.25), [0.8209145925472732, 0.34716038400641736, 0.7081497976872019, 10, 8, 0.41894064958652966, 0.2607068485512296, 0.0019253702088708469, 0.7681070452535238, 0.3242770494879952]
42, 23, (9.5, 1804.5, 1600.75), [0.7134097233010107, 0.3893422110450099, 0.5999640337693433, 1, 20, 0.07854596702959415, 0.9271914077457131, 0.2664893851232498, 0.4735252607048648, 0.209332618639807]
42, 24, (9.5, 1814.875, 2012.5), [0.6767343103292698, 0.2967519627188824, 0.07824876688771198, 1, 19, 0.11796580074539786, 0.8861439078027721, 0.2664893851232498, 0.2802042393075137, 0.18994877021479561]
42, 25, (9.5, 1834.75, 1415.0), [0.828884029492563, 0.28204106216259084, 0.30406534933751694, 1, 1, 0.2376263316887558, 0.9271914077457131, 0.2664893851232498, 0.7375557803185472, 0.30820488364743004]
42, 26, (9.5, 1834.875, 1536.75), [0.828884029492563, 0.28204106216259084, 0.3772845945619153, 1, 1, 0.2376263316887558, 0.9271914077457131, 0.2664893851232498, 0.4735252607048648, 0.209332618639807]
42, 27, (9.5, 1840.25, 1416.75), [0.7134097233010107, 0.030117081355244824, 0.715915083744303, 3, 20, 0.951266635675482, 0.006814306446208729, 0.11688648880200836, 0.4735252607048648, 0.19063903206976207]
42, 28, (9.5, 1858.75, 1033.25), [0.828884029492563, 0.28204106216259084, 0.5836025832344098, 6, 1, 0.2376263316887558, 0.9271914077457131, 0.2664893851232498, 0.4735252607048648, 0.209332618639807]
42, 29, (9.5, 1860.125, 1455.25), [0.828884029492563, 0.3893422110450099, 0.5836025832344098, 4, 20, 0.6904301308754498, 0.9271914077457131, 0.11688648880200836, 0.268861972532501, 0.209332618639807]
43, 0, (10.5, 1714.3333333333333, 2180.0), [0.2852493952791957, 0.030117081355244824, 0.5725553409674055, 6, 17, 0.2861725587415407, 0.9271914077457131, 0.2664893851232498, 0.5158698667832745, 0.30820488364743004]
43, 1, (10.0, 1317.0, 2187.0), [0.828884029492563, 0.28204106216259084, 0.39929479183714445, 1, 14, 0.2861725587415407, 0.9271914077457131, 0.2664893851232498, 0.7375557803185472, 0.30820488364743004]
43, 2, (10.0, 1683.111111111111, 1563.0), [0.2852493952791957, 0.33022847435336034, 0.07155487934466453, 3, 17, 0.2861725587415407, 0.9271914077457131, 0.2664893851232498, 0.8777559743861364, 0.30820488364743004]
43, 3, (10.0, 1787.4444444444443, 1741.5), [0.2852493952791957, 0.030117081355244824, 0.6662653955565491, 6, 17, 0.2861725587415407, 0.9271914077457131, 0.11688648880200836, 0.7375557803185472, 0.30820488364743004]
43, 4, (10.0, 2029.2222222222222, 2370.25), [0.828884029492563, 0.33022847435336034, 0.39929479183714445, 1, 17, 0.2861725587415407, 0.9271914077457131, 0.2664893851232498, 0.8777559743861364, 0.30820488364743004]
43, 5, (10.0, 2064.0, 1218.75), [0.3057888471236012, 0.8160248770497647, 0.22898772361804998, 3, 9, 0.7918966487217387, 0.8861439078027721, 0.8774206040317452, 0.2802042393075137, 0.30820488364743004]
43, 6, (9.5, 1492.0, 2215.75), [0.7134097233010107, 0.3893422110450099, 0.22898772361804998, 4, 20, 0.07788828501267353, 0.9271914077457131, 0.9622896012422052, 0.2802042393075137, 0.209332618639807]
43, 7, (9.5, 1501.875, 1896.25), [0.9461964687177714, 0.3893422110450099, 0.5725553409674055, 1, 17, 0.6896281087003205, 0.9271914077457131, 0.2664893851232498, 0.8777559743861364, 0.7301869829905163]
43, 8, (9.5, 1552.75, 2167.5), [0.9461964687177714, 0.8118502266263362, 0.5999640337693433, 1, 13, 0.07854596702959415, 0.9271914077457131, 0.2664893851232498, 0.8777559743861364, 0.18994877021479561]
43, 9, (9.5, 1559.625, 1990.5), [0.7134097233010107, 0.6131972737948278, 0.7314448331235893, 10, 2, 0.2376263316887558, 0.17648046494602, 0.11863074716810107, 0.18159573239360027, 0.5714479838821729]
43, 10, (9.5, 1578.375, 2031.75), [0.297300356831366, 0.030117081355244824, 0.43256543009233994, 9, 1, 0.43289843754803714, 0.9271914077457131, 0.11688648880200836, 0.2802042393075137, 0.19063903206976207]
43, 11, (9.5, 1589.25, 1603.75), [0.2852493952791957, 0.5452276684822579, 0.39929479183714445, 8, 1, 0.11796580074539786, 0.9271914077457131, 0.44313871464099996, 0.2802042393075137, 0.30820488364743004]
43, 12, (9.5, 1632.625, 2262.75), [0.7134097233010107, 0.3893422110450099, 0.33914352914845924, 3, 20, 0.40262903173878406, 0.006814306446208729, 0.9622896012422052, 0.17072998944959716, 0.19063903206976207]
43, 13, (9.5, 1650.625, 1957.5), [0.828884029492563, 0.030117081355244824, 0.39929479183714445, 1, 17, 0.2861725587415407, 0.9271914077457131, 0.11688648880200836, 0.7375557803185472, 0.44995625532970784]
43, 14, (9.5, 1724.25, 1519.25), [0.2852493952791957, 0.3893422110450099, 0.39929479183714445, 3, 17, 0.15099227790526992, 0.9271914077457131, 0.2664893851232498, 0.6108299124479254, 0.30820488364743004]
43, 15, (9.5, 1726.625, 1421.5), [0.828884029492563, 0.3893422110450099, 0.39929479183714445, 4, 17, 0.6896281087003205, 0.9271914077457131, 0.2664893851232498, 0.8777559743861364, 0.7301869829905163]
43, 16, (9.5, 1733.875, 897.75), [0.2852493952791957, 0.6433570701040783, 0.07824876688771198, 9, 1, 0.11796580074539786, 0.8861439078027721, 0.44313871464099996, 0.2802042393075137, 0.28622387229093793]
43, 17, (9.5, 1751.5, 1157.5), [0.7134097233010107, 0.3893422110450099, 0.3772845945619153, 1, 20, 0.07788828501267353, 0.9271914077457131, 0.9622896012422052, 0.4735252607048648, 0.209332618639807]
43, 18, (9.5, 1757.625, 1719.75), [0.828884029492563, 0.33022847435336034, 0.39929479183714445, 6, 17, 0.2861725587415407, 0.6588967768227285, 0.11688648880200836, 0.7375557803185472, 0.30820488364743004]
43, 19, (9.5, 1781.75, 1130.25), [0.828884029492563, 0.6433570701040783, 0.39929479183714445, 9, 1, 0.11796580074539786, 0.8861439078027721, 0.11688648880200836, 0.2802042393075137, 0.44995625532970784]
43, 20, (9.5, 1786.75, 1339.0), [0.828884029492563, 0.030117081355244824, 0.5836025832344098, 1, 20, 0.6904301308754498, 0.9271914077457131, 0.11688648880200836, 0.4735252607048648, 0.209332618639807]
43, 21, (9.5, 1798.625, 1394.5), [0.7134097233010107, 0.030117081355244824, 0.715915083744303, 3, 2, 0.1465691746099993, 0.17648046494602, 0.11863074716810107, 0.4735252607048648, 0.5714479838821729]
43, 22, (9.5, 1800.125, 1472.25), [0.8209145925472732, 0.34716038400641736, 0.7081497976872019, 10, 8, 0.41894064958652966, 0.2607068485512296, 0.0019253702088708469, 0.7681070452535238, 0.3242770494879952]
43, 23, (9.5, 1804.5, 1600.75), [0.7134097233010107, 0.3893422110450099, 0.5999640337693433, 1, 20, 0.07854596702959415, 0.9271914077457131, 0.2664893851232498, 0.4735252607048648, 0.209332618639807]
43, 24, (9.5, 1814.875, 2012.5), [0.6767343103292698, 0.2967519627188824, 0.07824876688771198, 1, 19, 0.11796580074539786, 0.8861439078027721, 0.2664893851232498, 0.2802042393075137, 0.18994877021479561]
43, 25, (9.5, 1834.75, 1415.0), [0.828884029492563, 0.28204106216259084, 0.30406534933751694, 1, 1, 0.2376263316887558, 0.9271914077457131, 0.2664893851232498, 0.7375557803185472, 0.30820488364743004]
43, 26, (9.5, 1834.875, 1536.75), [0.828884029492563, 0.28204106216259084, 0.3772845945619153, 1, 1, 0.2376263316887558, 0.9271914077457131, 0.2664893851232498, 0.4735252607048648, 0.209332618639807]
43, 27, (9.5, 1840.25, 1416.75), [0.7134097233010107, 0.030117081355244824, 0.715915083744303, 3, 20, 0.951266635675482, 0.006814306446208729, 0.11688648880200836, 0.4735252607048648, 0.19063903206976207]
43, 28, (9.5, 1858.75, 1033.25), [0.828884029492563, 0.28204106216259084, 0.5836025832344098, 6, 1, 0.2376263316887558, 0.9271914077457131, 0.2664893851232498, 0.4735252607048648, 0.209332618639807]
43, 29, (9.5, 1860.125, 1455.25), [0.828884029492563, 0.3893422110450099, 0.5836025832344098, 4, 20, 0.6904301308754498, 0.9271914077457131, 0.11688648880200836, 0.268861972532501, 0.209332618639807]
44, 0, (10.5, 1714.3333333333333, 2180.0), [0.2852493952791957, 0.030117081355244824, 0.5725553409674055, 6, 17, 0.2861725587415407, 0.9271914077457131, 0.2664893851232498, 0.5158698667832745, 0.30820488364743004]
44, 1, (10.0, 1317.0, 2187.0), [0.828884029492563, 0.28204106216259084, 0.39929479183714445, 1, 14, 0.2861725587415407, 0.9271914077457131, 0.2664893851232498, 0.7375557803185472, 0.30820488364743004]
44, 2, (10.0, 1683.111111111111, 1563.0), [0.2852493952791957, 0.33022847435336034, 0.07155487934466453, 3, 17, 0.2861725587415407, 0.9271914077457131, 0.2664893851232498, 0.8777559743861364, 0.30820488364743004]
44, 3, (10.0, 1787.4444444444443, 1741.5), [0.2852493952791957, 0.030117081355244824, 0.6662653955565491, 6, 17, 0.2861725587415407, 0.9271914077457131, 0.11688648880200836, 0.7375557803185472, 0.30820488364743004]
44, 4, (10.0, 2029.2222222222222, 2370.25), [0.828884029492563, 0.33022847435336034, 0.39929479183714445, 1, 17, 0.2861725587415407, 0.9271914077457131, 0.2664893851232498, 0.8777559743861364, 0.30820488364743004]
44, 5, (10.0, 2064.0, 1218.75), [0.3057888471236012, 0.8160248770497647, 0.22898772361804998, 3, 9, 0.7918966487217387, 0.8861439078027721, 0.8774206040317452, 0.2802042393075137, 0.30820488364743004]
44, 6, (9.5, 1492.0, 2215.75), [0.7134097233010107, 0.3893422110450099, 0.22898772361804998, 4, 20, 0.07788828501267353, 0.9271914077457131, 0.9622896012422052, 0.2802042393075137, 0.209332618639807]
44, 7, (9.5, 1501.875, 1896.25), [0.9461964687177714, 0.3893422110450099, 0.5725553409674055, 1, 17, 0.6896281087003205, 0.9271914077457131, 0.2664893851232498, 0.8777559743861364, 0.7301869829905163]
44, 8, (9.5, 1552.75, 2167.5), [0.9461964687177714, 0.8118502266263362, 0.5999640337693433, 1, 13, 0.07854596702959415, 0.9271914077457131, 0.2664893851232498, 0.8777559743861364, 0.18994877021479561]
44, 9, (9.5, 1559.625, 1990.5), [0.7134097233010107, 0.6131972737948278, 0.7314448331235893, 10, 2, 0.2376263316887558, 0.17648046494602, 0.11863074716810107, 0.18159573239360027, 0.5714479838821729]
44, 10, (9.5, 1578.375, 2031.75), [0.297300356831366, 0.030117081355244824, 0.43256543009233994, 9, 1, 0.43289843754803714, 0.9271914077457131, 0.11688648880200836, 0.2802042393075137, 0.19063903206976207]
44, 11, (9.5, 1589.25, 1603.75), [0.2852493952791957, 0.5452276684822579, 0.39929479183714445, 8, 1, 0.11796580074539786, 0.9271914077457131, 0.44313871464099996, 0.2802042393075137, 0.30820488364743004]
44, 12, (9.5, 1632.625, 2262.75), [0.7134097233010107, 0.3893422110450099, 0.33914352914845924, 3, 20, 0.40262903173878406, 0.006814306446208729, 0.9622896012422052, 0.17072998944959716, 0.19063903206976207]
44, 13, (9.5, 1650.625, 1957.5), [0.828884029492563, 0.030117081355244824, 0.39929479183714445, 1, 17, 0.2861725587415407, 0.9271914077457131, 0.11688648880200836, 0.7375557803185472, 0.44995625532970784]
44, 14, (9.5, 1724.25, 1519.25), [0.2852493952791957, 0.3893422110450099, 0.39929479183714445, 3, 17, 0.15099227790526992, 0.9271914077457131, 0.2664893851232498, 0.6108299124479254, 0.30820488364743004]
44, 15, (9.5, 1726.625, 1421.5), [0.828884029492563, 0.3893422110450099, 0.39929479183714445, 4, 17, 0.6896281087003205, 0.9271914077457131, 0.2664893851232498, 0.8777559743861364, 0.7301869829905163]
44, 16, (9.5, 1733.875, 897.75), [0.2852493952791957, 0.6433570701040783, 0.07824876688771198, 9, 1, 0.11796580074539786, 0.8861439078027721, 0.44313871464099996, 0.2802042393075137, 0.28622387229093793]
44, 17, (9.5, 1751.5, 1157.5), [0.7134097233010107, 0.3893422110450099, 0.3772845945619153, 1, 20, 0.07788828501267353, 0.9271914077457131, 0.9622896012422052, 0.4735252607048648, 0.209332618639807]
44, 18, (9.5, 1757.625, 1719.75), [0.828884029492563, 0.33022847435336034, 0.39929479183714445, 6, 17, 0.2861725587415407, 0.6588967768227285, 0.11688648880200836, 0.7375557803185472, 0.30820488364743004]
44, 19, (9.5, 1781.75, 1130.25), [0.828884029492563, 0.6433570701040783, 0.39929479183714445, 9, 1, 0.11796580074539786, 0.8861439078027721, 0.11688648880200836, 0.2802042393075137, 0.44995625532970784]
44, 20, (9.5, 1786.75, 1339.0), [0.828884029492563, 0.030117081355244824, 0.5836025832344098, 1, 20, 0.6904301308754498, 0.9271914077457131, 0.11688648880200836, 0.4735252607048648, 0.209332618639807]
44, 21, (9.5, 1798.625, 1394.5), [0.7134097233010107, 0.030117081355244824, 0.715915083744303, 3, 2, 0.1465691746099993, 0.17648046494602, 0.11863074716810107, 0.4735252607048648, 0.5714479838821729]
44, 22, (9.5, 1800.125, 1472.25), [0.8209145925472732, 0.34716038400641736, 0.7081497976872019, 10, 8, 0.41894064958652966, 0.2607068485512296, 0.0019253702088708469, 0.7681070452535238, 0.3242770494879952]
44, 23, (9.5, 1804.5, 1600.75), [0.7134097233010107, 0.3893422110450099, 0.5999640337693433, 1, 20, 0.07854596702959415, 0.9271914077457131, 0.2664893851232498, 0.4735252607048648, 0.209332618639807]
44, 24, (9.5, 1814.875, 2012.5), [0.6767343103292698, 0.2967519627188824, 0.07824876688771198, 1, 19, 0.11796580074539786, 0.8861439078027721, 0.2664893851232498, 0.2802042393075137, 0.18994877021479561]
44, 25, (9.5, 1834.75, 1415.0), [0.828884029492563, 0.28204106216259084, 0.30406534933751694, 1, 1, 0.2376263316887558, 0.9271914077457131, 0.2664893851232498, 0.7375557803185472, 0.30820488364743004]
44, 26, (9.5, 1834.875, 1536.75), [0.828884029492563, 0.28204106216259084, 0.3772845945619153, 1, 1, 0.2376263316887558, 0.9271914077457131, 0.2664893851232498, 0.4735252607048648, 0.209332618639807]
44, 27, (9.5, 1840.25, 1416.75), [0.7134097233010107, 0.030117081355244824, 0.715915083744303, 3, 20, 0.951266635675482, 0.006814306446208729, 0.11688648880200836, 0.4735252607048648, 0.19063903206976207]
44, 28, (9.5, 1858.75, 1033.25), [0.828884029492563, 0.28204106216259084, 0.5836025832344098, 6, 1, 0.2376263316887558, 0.9271914077457131, 0.2664893851232498, 0.4735252607048648, 0.209332618639807]
44, 29, (9.5, 1860.125, 1455.25), [0.828884029492563, 0.3893422110450099, 0.5836025832344098, 4, 20, 0.6904301308754498, 0.9271914077457131, 0.11688648880200836, 0.268861972532501, 0.209332618639807]
45, 0, (10.5, 1714.3333333333333, 2180.0), [0.2852493952791957, 0.030117081355244824, 0.5725553409674055, 6, 17, 0.2861725587415407, 0.9271914077457131, 0.2664893851232498, 0.5158698667832745, 0.30820488364743004]
45, 1, (10.0, 1317.0, 2187.0), [0.828884029492563, 0.28204106216259084, 0.39929479183714445, 1, 14, 0.2861725587415407, 0.9271914077457131, 0.2664893851232498, 0.7375557803185472, 0.30820488364743004]
45, 2, (10.0, 1683.111111111111, 1563.0), [0.2852493952791957, 0.33022847435336034, 0.07155487934466453, 3, 17, 0.2861725587415407, 0.9271914077457131, 0.2664893851232498, 0.8777559743861364, 0.30820488364743004]
45, 3, (10.0, 1787.4444444444443, 1741.5), [0.2852493952791957, 0.030117081355244824, 0.6662653955565491, 6, 17, 0.2861725587415407, 0.9271914077457131, 0.11688648880200836, 0.7375557803185472, 0.30820488364743004]
45, 4, (10.0, 2029.2222222222222, 2370.25), [0.828884029492563, 0.33022847435336034, 0.39929479183714445, 1, 17, 0.2861725587415407, 0.9271914077457131, 0.2664893851232498, 0.8777559743861364, 0.30820488364743004]
45, 5, (10.0, 2064.0, 1218.75), [0.3057888471236012, 0.8160248770497647, 0.22898772361804998, 3, 9, 0.7918966487217387, 0.8861439078027721, 0.8774206040317452, 0.2802042393075137, 0.30820488364743004]
45, 6, (9.5, 1492.0, 2215.75), [0.7134097233010107, 0.3893422110450099, 0.22898772361804998, 4, 20, 0.07788828501267353, 0.9271914077457131, 0.9622896012422052, 0.2802042393075137, 0.209332618639807]
45, 7, (9.5, 1501.875, 1896.25), [0.9461964687177714, 0.3893422110450099, 0.5725553409674055, 1, 17, 0.6896281087003205, 0.9271914077457131, 0.2664893851232498, 0.8777559743861364, 0.7301869829905163]
45, 8, (9.5, 1552.75, 2167.5), [0.9461964687177714, 0.8118502266263362, 0.5999640337693433, 1, 13, 0.07854596702959415, 0.9271914077457131, 0.2664893851232498, 0.8777559743861364, 0.18994877021479561]
45, 9, (9.5, 1559.625, 1990.5), [0.7134097233010107, 0.6131972737948278, 0.7314448331235893, 10, 2, 0.2376263316887558, 0.17648046494602, 0.11863074716810107, 0.18159573239360027, 0.5714479838821729]
45, 10, (9.5, 1578.375, 2031.75), [0.297300356831366, 0.030117081355244824, 0.43256543009233994, 9, 1, 0.43289843754803714, 0.9271914077457131, 0.11688648880200836, 0.2802042393075137, 0.19063903206976207]
45, 11, (9.5, 1589.25, 1603.75), [0.2852493952791957, 0.5452276684822579, 0.39929479183714445, 8, 1, 0.11796580074539786, 0.9271914077457131, 0.44313871464099996, 0.2802042393075137, 0.30820488364743004]
45, 12, (9.5, 1632.625, 2262.75), [0.7134097233010107, 0.3893422110450099, 0.33914352914845924, 3, 20, 0.40262903173878406, 0.006814306446208729, 0.9622896012422052, 0.17072998944959716, 0.19063903206976207]
45, 13, (9.5, 1650.625, 1957.5), [0.828884029492563, 0.030117081355244824, 0.39929479183714445, 1, 17, 0.2861725587415407, 0.9271914077457131, 0.11688648880200836, 0.7375557803185472, 0.44995625532970784]
45, 14, (9.5, 1724.25, 1519.25), [0.2852493952791957, 0.3893422110450099, 0.39929479183714445, 3, 17, 0.15099227790526992, 0.9271914077457131, 0.2664893851232498, 0.6108299124479254, 0.30820488364743004]
45, 15, (9.5, 1726.625, 1421.5), [0.828884029492563, 0.3893422110450099, 0.39929479183714445, 4, 17, 0.6896281087003205, 0.9271914077457131, 0.2664893851232498, 0.8777559743861364, 0.7301869829905163]
45, 16, (9.5, 1733.875, 897.75), [0.2852493952791957, 0.6433570701040783, 0.07824876688771198, 9, 1, 0.11796580074539786, 0.8861439078027721, 0.44313871464099996, 0.2802042393075137, 0.28622387229093793]
45, 17, (9.5, 1751.5, 1157.5), [0.7134097233010107, 0.3893422110450099, 0.3772845945619153, 1, 20, 0.07788828501267353, 0.9271914077457131, 0.9622896012422052, 0.4735252607048648, 0.209332618639807]
45, 18, (9.5, 1757.625, 1719.75), [0.828884029492563, 0.33022847435336034, 0.39929479183714445, 6, 17, 0.2861725587415407, 0.6588967768227285, 0.11688648880200836, 0.7375557803185472, 0.30820488364743004]
45, 19, (9.5, 1781.125, 2327.0), [0.297300356831366, 0.030117081355244824, 0.43256543009233994, 9, 1, 0.11796580074539786, 0.9271914077457131, 0.11688648880200836, 0.2802042393075137, 0.30820488364743004]
45, 20, (9.5, 1781.75, 1130.25), [0.828884029492563, 0.6433570701040783, 0.39929479183714445, 9, 1, 0.11796580074539786, 0.8861439078027721, 0.11688648880200836, 0.2802042393075137, 0.44995625532970784]
45, 21, (9.5, 1786.75, 1339.0), [0.828884029492563, 0.030117081355244824, 0.5836025832344098, 1, 20, 0.6904301308754498, 0.9271914077457131, 0.11688648880200836, 0.4735252607048648, 0.209332618639807]
45, 22, (9.5, 1798.625, 1394.5), [0.7134097233010107, 0.030117081355244824, 0.715915083744303, 3, 2, 0.1465691746099993, 0.17648046494602, 0.11863074716810107, 0.4735252607048648, 0.5714479838821729]
45, 23, (9.5, 1800.125, 1472.25), [0.8209145925472732, 0.34716038400641736, 0.7081497976872019, 10, 8, 0.41894064958652966, 0.2607068485512296, 0.0019253702088708469, 0.7681070452535238, 0.3242770494879952]
45, 24, (9.5, 1804.5, 1600.75), [0.7134097233010107, 0.3893422110450099, 0.5999640337693433, 1, 20, 0.07854596702959415, 0.9271914077457131, 0.2664893851232498, 0.4735252607048648, 0.209332618639807]
45, 25, (9.5, 1814.875, 2012.5), [0.6767343103292698, 0.2967519627188824, 0.07824876688771198, 1, 19, 0.11796580074539786, 0.8861439078027721, 0.2664893851232498, 0.2802042393075137, 0.18994877021479561]
45, 26, (9.5, 1834.75, 1415.0), [0.828884029492563, 0.28204106216259084, 0.30406534933751694, 1, 1, 0.2376263316887558, 0.9271914077457131, 0.2664893851232498, 0.7375557803185472, 0.30820488364743004]
45, 27, (9.5, 1834.875, 1536.75), [0.828884029492563, 0.28204106216259084, 0.3772845945619153, 1, 1, 0.2376263316887558, 0.9271914077457131, 0.2664893851232498, 0.4735252607048648, 0.209332618639807]
45, 28, (9.5, 1840.25, 1416.75), [0.7134097233010107, 0.030117081355244824, 0.715915083744303, 3, 20, 0.951266635675482, 0.006814306446208729, 0.11688648880200836, 0.4735252607048648, 0.19063903206976207]
45, 29, (9.5, 1858.75, 1033.25), [0.828884029492563, 0.28204106216259084, 0.5836025832344098, 6, 1, 0.2376263316887558, 0.9271914077457131, 0.2664893851232498, 0.4735252607048648, 0.209332618639807]
46, 0, (10.5, 1714.3333333333333, 2180.0), [0.2852493952791957, 0.030117081355244824, 0.5725553409674055, 6, 17, 0.2861725587415407, 0.9271914077457131, 0.2664893851232498, 0.5158698667832745, 0.30820488364743004]
46, 1, (10.0, 1317.0, 2187.0), [0.828884029492563, 0.28204106216259084, 0.39929479183714445, 1, 14, 0.2861725587415407, 0.9271914077457131, 0.2664893851232498, 0.7375557803185472, 0.30820488364743004]
46, 2, (10.0, 1683.111111111111, 1563.0), [0.2852493952791957, 0.33022847435336034, 0.07155487934466453, 3, 17, 0.2861725587415407, 0.9271914077457131, 0.2664893851232498, 0.8777559743861364, 0.30820488364743004]
46, 3, (10.0, 1787.4444444444443, 1741.5), [0.2852493952791957, 0.030117081355244824, 0.6662653955565491, 6, 17, 0.2861725587415407, 0.9271914077457131, 0.11688648880200836, 0.7375557803185472, 0.30820488364743004]
46, 4, (10.0, 2029.2222222222222, 2370.25), [0.828884029492563, 0.33022847435336034, 0.39929479183714445, 1, 17, 0.2861725587415407, 0.9271914077457131, 0.2664893851232498, 0.8777559743861364, 0.30820488364743004]
46, 5, (10.0, 2064.0, 1218.75), [0.3057888471236012, 0.8160248770497647, 0.22898772361804998, 3, 9, 0.7918966487217387, 0.8861439078027721, 0.8774206040317452, 0.2802042393075137, 0.30820488364743004]
46, 6, (9.5, 1492.0, 2215.75), [0.7134097233010107, 0.3893422110450099, 0.22898772361804998, 4, 20, 0.07788828501267353, 0.9271914077457131, 0.9622896012422052, 0.2802042393075137, 0.209332618639807]
46, 7, (9.5, 1501.875, 1896.25), [0.9461964687177714, 0.3893422110450099, 0.5725553409674055, 1, 17, 0.6896281087003205, 0.9271914077457131, 0.2664893851232498, 0.8777559743861364, 0.7301869829905163]
46, 8, (9.5, 1552.75, 2167.5), [0.9461964687177714, 0.8118502266263362, 0.5999640337693433, 1, 13, 0.07854596702959415, 0.9271914077457131, 0.2664893851232498, 0.8777559743861364, 0.18994877021479561]
46, 9, (9.5, 1559.625, 1990.5), [0.7134097233010107, 0.6131972737948278, 0.7314448331235893, 10, 2, 0.2376263316887558, 0.17648046494602, 0.11863074716810107, 0.18159573239360027, 0.5714479838821729]
46, 10, (9.5, 1578.375, 2031.75), [0.297300356831366, 0.030117081355244824, 0.43256543009233994, 9, 1, 0.43289843754803714, 0.9271914077457131, 0.11688648880200836, 0.2802042393075137, 0.19063903206976207]
46, 11, (9.5, 1589.25, 1603.75), [0.2852493952791957, 0.5452276684822579, 0.39929479183714445, 8, 1, 0.11796580074539786, 0.9271914077457131, 0.44313871464099996, 0.2802042393075137, 0.30820488364743004]
46, 12, (9.5, 1632.625, 2262.75), [0.7134097233010107, 0.3893422110450099, 0.33914352914845924, 3, 20, 0.40262903173878406, 0.006814306446208729, 0.9622896012422052, 0.17072998944959716, 0.19063903206976207]
46, 13, (9.5, 1650.625, 1957.5), [0.828884029492563, 0.030117081355244824, 0.39929479183714445, 1, 17, 0.2861725587415407, 0.9271914077457131, 0.11688648880200836, 0.7375557803185472, 0.44995625532970784]
46, 14, (9.5, 1724.25, 1519.25), [0.2852493952791957, 0.3893422110450099, 0.39929479183714445, 3, 17, 0.15099227790526992, 0.9271914077457131, 0.2664893851232498, 0.6108299124479254, 0.30820488364743004]
46, 15, (9.5, 1726.625, 1421.5), [0.828884029492563, 0.3893422110450099, 0.39929479183714445, 4, 17, 0.6896281087003205, 0.9271914077457131, 0.2664893851232498, 0.8777559743861364, 0.7301869829905163]
46, 16, (9.5, 1733.875, 897.75), [0.2852493952791957, 0.6433570701040783, 0.07824876688771198, 9, 1, 0.11796580074539786, 0.8861439078027721, 0.44313871464099996, 0.2802042393075137, 0.28622387229093793]
46, 17, (9.5, 1751.5, 1157.5), [0.7134097233010107, 0.3893422110450099, 0.3772845945619153, 1, 20, 0.07788828501267353, 0.9271914077457131, 0.9622896012422052, 0.4735252607048648, 0.209332618639807]
46, 18, (9.5, 1757.625, 1719.75), [0.828884029492563, 0.33022847435336034, 0.39929479183714445, 6, 17, 0.2861725587415407, 0.6588967768227285, 0.11688648880200836, 0.7375557803185472, 0.30820488364743004]
46, 19, (9.5, 1781.125, 2327.0), [0.297300356831366, 0.030117081355244824, 0.43256543009233994, 9, 1, 0.11796580074539786, 0.9271914077457131, 0.11688648880200836, 0.2802042393075137, 0.30820488364743004]
46, 20, (9.5, 1781.75, 1130.25), [0.828884029492563, 0.6433570701040783, 0.39929479183714445, 9, 1, 0.11796580074539786, 0.8861439078027721, 0.11688648880200836, 0.2802042393075137, 0.44995625532970784]
46, 21, (9.5, 1786.75, 1339.0), [0.828884029492563, 0.030117081355244824, 0.5836025832344098, 1, 20, 0.6904301308754498, 0.9271914077457131, 0.11688648880200836, 0.4735252607048648, 0.209332618639807]
46, 22, (9.5, 1798.625, 1394.5), [0.7134097233010107, 0.030117081355244824, 0.715915083744303, 3, 2, 0.1465691746099993, 0.17648046494602, 0.11863074716810107, 0.4735252607048648, 0.5714479838821729]
46, 23, (9.5, 1800.125, 1472.25), [0.8209145925472732, 0.34716038400641736, 0.7081497976872019, 10, 8, 0.41894064958652966, 0.2607068485512296, 0.0019253702088708469, 0.7681070452535238, 0.3242770494879952]
46, 24, (9.5, 1804.5, 1600.75), [0.7134097233010107, 0.3893422110450099, 0.5999640337693433, 1, 20, 0.07854596702959415, 0.9271914077457131, 0.2664893851232498, 0.4735252607048648, 0.209332618639807]
46, 25, (9.5, 1814.875, 2012.5), [0.6767343103292698, 0.2967519627188824, 0.07824876688771198, 1, 19, 0.11796580074539786, 0.8861439078027721, 0.2664893851232498, 0.2802042393075137, 0.18994877021479561]
46, 26, (9.5, 1834.75, 1415.0), [0.828884029492563, 0.28204106216259084, 0.30406534933751694, 1, 1, 0.2376263316887558, 0.9271914077457131, 0.2664893851232498, 0.7375557803185472, 0.30820488364743004]
